"id"	"open"	"close"	"high"	"low"	"vol"	"amount"	"count"	"update_time"
"1603927800"	"4.223"	"4.22"	"4.2299"	"4.22"	"34706.380708"	"8214.545324385132"	"247"	
"1603928700"	"4.22"	"4.2234"	"4.2264"	"4.22"	"15300.602174"	"3622.404864749633"	"136"	
"1603929600"	"4.2234"	"4.2496"	"4.2499"	"4.2234"	"31659.337582296765"	"7470.778568984796"	"507"	
"1603930500"	"4.2497"	"4.2318"	"4.2555"	"4.2289"	"89596.24998138043"	"21101.456611712612"	"568"	
"1603931400"	"4.2313"	"4.2115"	"4.2316"	"4.21"	"77304.4700179483"	"18336.53449523962"	"559"	
"1603932300"	"4.2126"	"4.2085"	"4.2126"	"4.2053"	"84741.612499"	"20135.38844619481"	"450"	
"1603933200"	"4.2084"	"4.22"	"4.2218"	"4.2081"	"93628.22381439696"	"22219.623998100666"	"405"	
"1603934100"	"4.22"	"4.2013"	"4.22"	"4.1963"	"116518.7690842573"	"27705.683675753426"	"545"	
"1603935000"	"4.2019"	"4.2096"	"4.2096"	"4.2016"	"53645.61875505754"	"12754.632603936665"	"403"	
"1603935900"	"4.2096"	"4.2207"	"4.2234"	"4.2095"	"66888.28426439"	"15865.690597014765"	"399"	
"1603936800"	"4.2207"	"4.2216"	"4.2341"	"4.214"	"141232.756722"	"33430.656812744804"	"626"	
"1603937700"	"4.2206"	"4.2078"	"4.2224"	"4.2037"	"116373.22124169675"	"27631.36018844486"	"557"	
"1603938600"	"4.2077"	"4.2164"	"4.2177"	"4.2046"	"45921.23172818539"	"10902.477250580423"	"417"	
"1603939500"	"4.2161"	"4.2155"	"4.2164"	"4.2111"	"20898.478532"	"4958.583716126452"	"250"	
"1603940400"	"4.2157"	"4.2142"	"4.2157"	"4.2061"	"39155.39695933"	"9297.272055530713"	"449"	
"1603941300"	"4.2142"	"4.2359"	"4.2359"	"4.2074"	"121011.52703526888"	"28691.688923763835"	"713"	
"1603942200"	"4.2359"	"4.2374"	"4.241"	"4.2359"	"50835.555165"	"11995.25"	"396"	
"1603943100"	"4.2377"	"4.2564"	"4.2571"	"4.2376"	"106104.91921739088"	"24970.284009776024"	"638"	
"1603944000"	"4.2566"	"4.2512"	"4.2579"	"4.2396"	"121249.839942"	"28534.86"	"644"	
"1603944900"	"4.2516"	"4.2382"	"4.2538"	"4.238"	"45423.069494"	"10691.05"	"295"	
"1603945800"	"4.2385"	"4.2184"	"4.2388"	"4.2184"	"85770.41113821"	"20291.53885867653"	"446"	
"1603946700"	"4.2183"	"4.215"	"4.2282"	"4.2147"	"84775.909445"	"20081.698770134546"	"458"	
"1603947600"	"4.2157"	"4.2366"	"4.2389"	"4.2154"	"63452.959219"	"15013.448090185804"	"403"	
"1603948500"	"4.237"	"4.2416"	"4.2475"	"4.237"	"26141.851165223536"	"6162.29897402628"	"250"	
"1603949400"	"4.2414"	"4.2435"	"4.2448"	"4.2414"	"27067.31785650875"	"6378.856654243242"	"148"	
"1603950300"	"4.2442"	"4.2623"	"4.2626"	"4.2442"	"140453.26418629"	"33023.22028869417"	"598"	
"1603951200"	"4.2623"	"4.2617"	"4.2799"	"4.2559"	"205773.19367161"	"48217.66316993504"	"990"	
"1603952100"	"4.2614"	"4.267"	"4.2692"	"4.256"	"86549.94350642"	"20309.80296350939"	"334"	
"1603953000"	"4.267"	"4.2597"	"4.267"	"4.2573"	"73767.27748841"	"17309.44139594301"	"320"	
"1603953900"	"4.2591"	"4.2541"	"4.2639"	"4.2492"	"49641.29944063"	"11661.553451764845"	"477"	
"1603954800"	"4.2548"	"4.2958"	"4.2958"	"4.252"	"365761.10699553305"	"85521.16290417484"	"1197"	
"1603955700"	"4.2956"	"4.2754"	"4.3009"	"4.2753"	"279262.2528435249"	"65040.9460229287"	"954"	
"1603956600"	"4.2754"	"4.2621"	"4.2754"	"4.2621"	"60968.14085035"	"14284.577766863715"	"427"	
"1603957500"	"4.2621"	"4.2475"	"4.2745"	"4.24"	"236629.442172"	"55571.730875439054"	"880"	
"1603958400"	"4.2487"	"4.2257"	"4.2518"	"4.2249"	"164324.58783684"	"38786.78508923061"	"881"	
"1603959300"	"4.2257"	"4.2596"	"4.269"	"4.2201"	"211703.49336361428"	"49922.67843232306"	"1017"	
"1603960200"	"4.2601"	"4.2395"	"4.2619"	"4.2395"	"53932.98973951"	"12680.60319822863"	"496"	
"1603961100"	"4.2393"	"4.2533"	"4.26"	"4.2327"	"153196.47289864018"	"36074.90395323487"	"536"	
"1603962000"	"4.2533"	"4.2582"	"4.2606"	"4.2506"	"63847.64167409172"	"15006.011466124175"	"423"	
"1603962900"	"4.2584"	"4.2636"	"4.27"	"4.2551"	"54803.06049389"	"12855.40524985621"	"359"	
"1603963800"	"4.2637"	"4.2739"	"4.274"	"4.258"	"99900.10896523"	"23421.433957993588"	"464"	
"1603964700"	"4.2739"	"4.2585"	"4.2764"	"4.2572"	"58944.290501"	"13811.313715091286"	"357"	
"1603965600"	"4.2586"	"4.2517"	"4.2587"	"4.2488"	"32257.60104494"	"7585.509494968627"	"232"	
"1603966500"	"4.2516"	"4.238"	"4.2539"	"4.2339"	"73370.06045625"	"17296.410776391873"	"513"	
"1603967400"	"4.2381"	"4.2106"	"4.2381"	"4.2083"	"200655.20974215626"	"47580.591121616446"	"929"	
"1603968300"	"4.2107"	"4.2147"	"4.2238"	"4.2044"	"192114.79284808345"	"45626.60750573475"	"637"	
"1603969200"	"4.2148"	"4.2156"	"4.2157"	"4.2025"	"109539.05161559"	"26039.49169154851"	"555"	
"1603970100"	"4.2156"	"4.2096"	"4.2164"	"4.2088"	"59917.44863"	"14220.649023916334"	"428"	
"1603971000"	"4.2096"	"4.2081"	"4.2297"	"4.2074"	"119172.80100073728"	"28260.526097885147"	"677"	
"1603971900"	"4.2081"	"4.202"	"4.2133"	"4.2"	"98963.076608"	"23535.721659998457"	"408"	
"1603972800"	"4.2007"	"4.1905"	"4.2018"	"4.1892"	"142644.591787"	"34001.84639567354"	"793"	
"1603973700"	"4.1899"	"4.169"	"4.2006"	"4.165"	"259152.6209280201"	"61949.61002932312"	"1256"	
"1603974600"	"4.1682"	"4.173"	"4.176"	"4.1546"	"667406.1973961162"	"160220.88722959554"	"2508"	
"1603975500"	"4.1739"	"4.1864"	"4.205"	"4.1643"	"307842.19883415755"	"73588.89966512664"	"1455"	
"1603976400"	"4.1895"	"4.1904"	"4.1918"	"4.175"	"110335.3600154"	"26373.080877133307"	"560"	
"1603977300"	"4.1905"	"4.1984"	"4.1988"	"4.1784"	"109132.9785509103"	"26074.223993568874"	"661"	
"1603978200"	"4.1985"	"4.1929"	"4.2247"	"4.1929"	"254261.14403375247"	"60358.33593670064"	"1203"	
"1603979100"	"4.1936"	"4.2216"	"4.2247"	"4.1892"	"174865.99384434"	"41577.22228256654"	"796"	
"1603980000"	"4.2207"	"4.223"	"4.2245"	"4.2186"	"119454.371095"	"28286.35796527699"	"418"	
"1603980900"	"4.223"	"4.2477"	"4.26"	"4.223"	"195495.50293722"	"46057.28876694827"	"1187"	
"1603981800"	"4.2468"	"4.2485"	"4.26"	"4.24"	"124566.0894626"	"29304.62913492864"	"761"	
"1603982700"	"4.2485"	"4.2437"	"4.2498"	"4.24"	"160644.287579"	"37854.143896086556"	"535"	
"1603983600"	"4.2438"	"4.2461"	"4.25"	"4.2414"	"74225.14858681"	"17487.95295529427"	"463"	
"1603984500"	"4.2467"	"4.249"	"4.2515"	"4.2415"	"106236.161007"	"25007.938682186563"	"492"	
"1603985400"	"4.248"	"4.2439"	"4.2524"	"4.2403"	"144155.33409021882"	"33948.63201613464"	"572"	
"1603986300"	"4.2442"	"4.2425"	"4.2508"	"4.24"	"73270.27097336"	"17259.723136648525"	"341"	
"1603987200"	"4.2425"	"4.2418"	"4.2438"	"4.2383"	"61396.77550297251"	"14477.79887868351"	"503"	
"1603988100"	"4.2417"	"4.2439"	"4.2439"	"4.2405"	"203606.39179891"	"47987.99336617313"	"536"	
"1603989000"	"4.2439"	"4.2487"	"4.2495"	"4.2439"	"109691.13058971"	"25828.264103555943"	"397"	
"1603989900"	"4.2487"	"4.2696"	"4.27"	"4.248"	"180370.33106266"	"42361.80237782154"	"776"	
"1603990800"	"4.2697"	"4.2667"	"4.2697"	"4.2609"	"59295.99434"	"13901.447384404722"	"426"	
"1603991700"	"4.2654"	"4.2685"	"4.2698"	"4.2607"	"24707.274614"	"5792.83"	"245"	
"1603992600"	"4.2685"	"4.2758"	"4.2781"	"4.2681"	"97315.70542584192"	"22766.627105914904"	"701"	
"1603993500"	"4.2758"	"4.27"	"4.2759"	"4.2689"	"32996.35659571009"	"7722.764258402022"	"320"	
"1603994400"	"4.2701"	"4.2602"	"4.2727"	"4.26"	"62567.75466818513"	"14658.870435483732"	"394"	
"1603995300"	"4.2601"	"4.2699"	"4.2705"	"4.26"	"56303.027984"	"13207.06"	"227"	
"1603996200"	"4.27"	"4.27"	"4.2727"	"4.2628"	"24854.228237737672"	"5823.501782881543"	"289"	
"1603997100"	"4.2692"	"4.268"	"4.272"	"4.2658"	"20415.12964689"	"4782.188951815321"	"183"	
"1603998000"	"4.2688"	"4.268"	"4.2775"	"4.268"	"102206.676223"	"23915.620480870482"	"342"	
"1603998900"	"4.2678"	"4.2609"	"4.2726"	"4.2546"	"58564.94575707"	"13738.972292294155"	"327"	
"1603999800"	"4.2608"	"4.2564"	"4.272"	"4.25"	"60384.315587854355"	"14178.157290331157"	"369"	
"1604000700"	"4.2568"	"4.2503"	"4.262"	"4.2503"	"13999.157790843365"	"3287.9511216097308"	"226"	
"1604001600"	"4.2502"	"4.2503"	"4.2579"	"4.2478"	"37314.21498"	"8777.89"	"249"	
"1604002500"	"4.2519"	"4.2547"	"4.256"	"4.2499"	"48083.18866882"	"11305.847950802416"	"175"	
"1604003400"	"4.2549"	"4.2557"	"4.2567"	"4.25"	"23234.04481553705"	"5463.379441906889"	"222"	
